project,article,timestamp,views
en.wikipedia,Absurdism,2018010100,50296
en.wikipedia,Absurdism,2018020100,44655
en.wikipedia,Absurdism,2018030100,50593
en.wikipedia,Absurdism,2018040100,50871
en.wikipedia,Absurdism,2018050100,48368
en.wikipedia,Absurdism,2018060100,39999
en.wikipedia,Absurdism,2018070100,38434
en.wikipedia,Absurdism,2018080100,41725
en.wikipedia,Absurdism,2018090100,42433
en.wikipedia,Absurdism,2018100100,45667
en.wikipedia,Absurdism,2018110100,47304
en.wikipedia,Absurdism,2018120100,44598
en.wikipedia,Absurdism,2019010100,44738
en.wikipedia,Absurdism,2019020100,43397
en.wikipedia,Absurdism,2019030100,47664
en.wikipedia,Absurdism,2019040100,53904
en.wikipedia,Absurdism,2019050100,45558
en.wikipedia,Absurdism,2019060100,41776
en.wikipedia,Absurdism,2019070100,40352
en.wikipedia,Absurdism,2019080100,40780
en.wikipedia,Absurdism,2019090100,45570
en.wikipedia,Absurdism,2019100100,47267
en.wikipedia,Absurdism,2019110100,48603
en.wikipedia,Absurdism,2019120100,44292
en.wikipedia,Absurdism,2020010100,46626
en.wikipedia,Absurdism,2020020100,44019
en.wikipedia,Absurdism,2020030100,53379
en.wikipedia,Absurdism,2020040100,60718
en.wikipedia,Absurdism,2020050100,59498
en.wikipedia,Absurdism,2020060100,53332
en.wikipedia,Absurdism,2020070100,49651
en.wikipedia,Absurdism,2020080100,48727
en.wikipedia,Absurdism,2020090100,49807
en.wikipedia,Absurdism,2020100100,61257
en.wikipedia,Absurdism,2020110100,55714
en.wikipedia,Absurdism,2020120100,52981
en.wikipedia,Absurdism,2021010100,54144
en.wikipedia,Absurdism,2021020100,56427
en.wikipedia,Absurdism,2021030100,62335
en.wikipedia,Absurdism,2021040100,55096
en.wikipedia,Absurdism,2021050100,55074
en.wikipedia,Absurdism,2021060100,49974
en.wikipedia,Absurdism,2021070100,50330
en.wikipedia,Absurdism,2021080100,53448
en.wikipedia,Absurdism,2021090100,53213
en.wikipedia,Absurdism,2021100100,54384
en.wikipedia,Absurdism,2021110100,48753
en.wikipedia,Absurdism,2021120100,47365
en.wikipedia,Absurdism,2022010100,51594
en.wikipedia,Absurdism,2022020100,46904
en.wikipedia,Absurdism,2022030100,50027
en.wikipedia,Absurdism,2022040100,49974
en.wikipedia,Absurdism,2022050100,62551
en.wikipedia,Absurdism,2022060100,41943
en.wikipedia,Absurdism,2022070100,45883
en.wikipedia,Absurdism,2022080100,44048
en.wikipedia,Absurdism,2022090100,46277
en.wikipedia,Absurdism,2022100100,52144
en.wikipedia,Absurdism,2022110100,62088
en.wikipedia,Absurdism,2022120100,70133
en.wikipedia,Absurdism,2023010100,1957
en.wikipedia,Philosophy_of_action,2018010100,474
en.wikipedia,Philosophy_of_action,2018020100,417
en.wikipedia,Philosophy_of_action,2018030100,510
en.wikipedia,Philosophy_of_action,2018040100,479
en.wikipedia,Philosophy_of_action,2018050100,444
en.wikipedia,Philosophy_of_action,2018060100,363
en.wikipedia,Philosophy_of_action,2018070100,417
en.wikipedia,Philosophy_of_action,2018080100,513
en.wikipedia,Philosophy_of_action,2018090100,423
en.wikipedia,Philosophy_of_action,2018100100,690
en.wikipedia,Philosophy_of_action,2018110100,492
en.wikipedia,Philosophy_of_action,2018120100,576
en.wikipedia,Philosophy_of_action,2019010100,627
en.wikipedia,Philosophy_of_action,2019020100,446
en.wikipedia,Philosophy_of_action,2019030100,526
en.wikipedia,Philosophy_of_action,2019040100,466
en.wikipedia,Philosophy_of_action,2019050100,1148
en.wikipedia,Philosophy_of_action,2019060100,742
en.wikipedia,Philosophy_of_action,2019070100,430
en.wikipedia,Philosophy_of_action,2019080100,486
en.wikipedia,Philosophy_of_action,2019090100,460
en.wikipedia,Philosophy_of_action,2019100100,502
en.wikipedia,Philosophy_of_action,2019110100,566
en.wikipedia,Philosophy_of_action,2019120100,520
en.wikipedia,Philosophy_of_action,2020010100,529
en.wikipedia,Philosophy_of_action,2020020100,386
en.wikipedia,Philosophy_of_action,2020030100,496
en.wikipedia,Philosophy_of_action,2020040100,527
en.wikipedia,Philosophy_of_action,2020050100,485
en.wikipedia,Philosophy_of_action,2020060100,434
en.wikipedia,Philosophy_of_action,2020070100,410
en.wikipedia,Philosophy_of_action,2020080100,698
en.wikipedia,Philosophy_of_action,2020090100,801
en.wikipedia,Philosophy_of_action,2020100100,926
en.wikipedia,Philosophy_of_action,2020110100,821
en.wikipedia,Philosophy_of_action,2020120100,825
en.wikipedia,Philosophy_of_action,2021010100,803
en.wikipedia,Philosophy_of_action,2021020100,892
en.wikipedia,Philosophy_of_action,2021030100,823
en.wikipedia,Philosophy_of_action,2021040100,838
en.wikipedia,Philosophy_of_action,2021050100,745
en.wikipedia,Philosophy_of_action,2021060100,712
en.wikipedia,Philosophy_of_action,2021070100,703
en.wikipedia,Philosophy_of_action,2021080100,900
en.wikipedia,Philosophy_of_action,2021090100,1064
en.wikipedia,Philosophy_of_action,2021100100,929
en.wikipedia,Philosophy_of_action,2021110100,710
en.wikipedia,Philosophy_of_action,2021120100,819
en.wikipedia,Philosophy_of_action,2022010100,878
en.wikipedia,Philosophy_of_action,2022020100,994
en.wikipedia,Philosophy_of_action,2022030100,966
en.wikipedia,Philosophy_of_action,2022040100,1212
en.wikipedia,Philosophy_of_action,2022050100,1900
en.wikipedia,Philosophy_of_action,2022060100,1700
en.wikipedia,Philosophy_of_action,2022070100,810
en.wikipedia,Philosophy_of_action,2022080100,454
en.wikipedia,Philosophy_of_action,2022090100,429
en.wikipedia,Philosophy_of_action,2022100100,486
en.wikipedia,Philosophy_of_action,2022110100,508
en.wikipedia,Philosophy_of_action,2022120100,466
en.wikipedia,Philosophy_of_action,2023010100,12
en.wikipedia,Actual_idealism,2018010100,1121
