timestamp,Aesthetics,Agnosticism,Analytic philosophy,Anarchism,Anarchy,Animism,Asceticism,Atheism,Authoritarianism,Baptism,Baptists,Behaviorism,Capitalism,Categorical imperative,Communism,Confucianism,Consequentialism,Conservatism,Continental philosophy,Critical theory,Cynicism (philosophy),Deconstruction,Deism,Determinism,Dialectic,Dialectical materialism,Ecumenism,Egalitarianism,Empiricism,Epistemology,Ethics,Existentialism,Fascism,Fatalism,Feminist philosophy,Free will,Fundamentalism,Gnosticism,Hedonism,Henotheism,Hermeticism,Historical materialism,Holism,Idealism,Individualism,Jainism,Juche,Kabbalah,Leninism,Liberalism,Libertarianism,Logic,Logical positivism,Luddite,Manichaeism,Maoism,Marxism,Materialism,Medieval philosophy,Metaphysics,Monism,Mysticism,Nazism,Neoliberalism,Neoplatonism,New Age,Nihilism,Ontology,Paganism,Pantheism,Personalism,Phenomenology (philosophy),Philosophical realism,Philosophy of language,Philosophy of law,Philosophy of mind,Philosophy of religion,Philosophy of science,Platonism,Political philosophy,Populism,Positivism,Post-structuralism,Rastafari,Rationalism,Reductionism,Relativism,Romanticism,Satanism,Scholasticism,Scientism,Shamanism,Sikhism,Socialism,Socrates,Stoicism,Structuralism,Taoism,Teleology,Theism,Theology,Thomism,Transhumanism,Utilitarianism,Vienna Circle,Vitalism,Zen,Zoroastrianism
2019010100,1736.0,3413.0,684.0,1820.0,1495.0,1385.0,1301.0,2696.0,937.0,1211.0,1562.0,746.0,2277.0,672.0,5020.0,1508.0,514.0,5330.0,454.0,854.0,964.0,713.0,1554.0,921.0,1339.0,785.0,718.0,1217.0,1115.0,2313.0,1586.0,3840.0,5001.0,432.0,67.0,1038.0,375.0,2795.0,1993.0,339.0,1351.0,689.0,448.0,742.0,687.0,3562.0,775.0,2605.0,676.0,3262.0,2419.0,1133.0,399.0,1486.0,1450.0,866.0,3085.0,766.0,178.0,2220.0,863.0,1547.0,2842.0,1889.0,709.0,1304.0,4073.0,1934.0,3584.0,1613.0,68.0,743.0,215.0,337.0,135.0,462.0,200.0,568.0,379.0,592.0,2006.0,887.0,753.0,3183.0,984.0,888.0,460.0,2661.0,3076.0,405.0,349.0,1672.0,4389.0,3402.0,5309.0,3285.0,862.0,2647.0,697.0,636.0,951.0,343.0,942.0,1451.0,177.0,366.0,1805.0,9866.0
2019010200,1926.0,3801.0,677.0,2074.0,1691.0,1498.0,1508.0,3069.0,1156.0,1460.0,1631.0,1037.0,2805.0,843.0,6510.0,1902.0,634.0,1764.0,601.0,1146.0,974.0,1023.0,1931.0,1045.0,1669.0,990.0,765.0,1529.0,1179.0,3492.0,2401.0,4343.0,6268.0,482.0,79.0,1223.0,413.0,3266.0,2108.0,460.0,1666.0,946.0,475.0,1004.0,906.0,3956.0,840.0,3065.0,771.0,3315.0,2855.0,1656.0,471.0,1399.0,1583.0,1039.0,4171.0,939.0,257.0,2865.0,811.0,1594.0,3331.0,2602.0,858.0,1410.0,4547.0,2488.0,3764.0,1768.0,111.0,1102.0,357.0,404.0,193.0,1261.0,206.0,739.0,506.0,823.0,2454.0,1146.0,1049.0,3407.0,791.0,483.0,463.0,3494.0,3464.0,564.0,417.0,1916.0,3723.0,4048.0,6222.0,4089.0,1102.0,3305.0,855.0,767.0,1146.0,392.0,1153.0,1898.0,206.0,495.0,1894.0,9525.0
2019010300,1898.0,3493.0,688.0,2132.0,1583.0,1529.0,1469.0,3094.0,1408.0,1445.0,1730.0,1433.0,2913.0,824.0,6523.0,1881.0,644.0,1781.0,614.0,1068.0,923.0,1012.0,1948.0,1423.0,1704.0,874.0,659.0,1481.0,1391.0,3468.0,2713.0,4421.0,5828.0,515.0,87.0,1249.0,440.0,3124.0,1887.0,389.0,1686.0,910.0,571.0,1392.0,974.0,3785.0,901.0,3147.0,746.0,3499.0,3169.0,1672.0,514.0,1113.0,1518.0,1091.0,4231.0,1224.0,274.0,3071.0,1511.0,1601.0,3224.0,2574.0,872.0,1482.0,4957.0,2460.0,3566.0,1666.0,114.0,1325.0,318.0,418.0,206.0,662.0,202.0,1205.0,444.0,769.0,2177.0,1521.0,1031.0,3191.0,1105.0,781.0,463.0,3646.0,3547.0,513.0,688.0,1862.0,3548.0,4553.0,6486.0,4164.0,1077.0,3023.0,777.0,782.0,1188.0,359.0,1797.0,2050.0,206.0,719.0,1840.0,8196.0
2019010400,1989.0,3655.0,711.0,1969.0,1442.0,1602.0,1368.0,2991.0,1389.0,1533.0,1691.0,1047.0,2936.0,754.0,6600.0,1876.0,670.0,1780.0,593.0,1139.0,949.0,976.0,2154.0,1052.0,1661.0,887.0,642.0,1418.0,1109.0,3061.0,2221.0,4174.0,6214.0,475.0,87.0,1303.0,542.0,3100.0,1947.0,407.0,1713.0,865.0,531.0,1086.0,981.0,3817.0,805.0,2784.0,756.0,3684.0,3020.0,1347.0,503.0,1061.0,1580.0,1014.0,4086.0,914.0,265.0,2832.0,877.0,1867.0,3299.0,2675.0,808.0,1394.0,4355.0,2678.0,3537.0,1807.0,123.0,1078.0,340.0,476.0,189.0,662.0,240.0,642.0,460.0,862.0,1990.0,1120.0,1000.0,3197.0,801.0,658.0,504.0,3590.0,3238.0,638.0,390.0,1789.0,3617.0,5104.0,6293.0,3899.0,1084.0,3115.0,817.0,800.0,1205.0,336.0,1229.0,1928.0,201.0,446.0,1886.0,8294.0
2019010500,1739.0,3423.0,697.0,2348.0,1148.0,1460.0,1334.0,2894.0,1259.0,1491.0,1698.0,993.0,2799.0,764.0,6348.0,1873.0,580.0,1721.0,559.0,1068.0,947.0,909.0,1983.0,968.0,1456.0,918.0,692.0,1333.0,1144.0,3000.0,2057.0,4114.0,6783.0,458.0,88.0,1117.0,475.0,3315.0,1952.0,356.0,1509.0,851.0,449.0,921.0,838.0,3565.0,836.0,2865.0,743.0,3315.0,3033.0,1430.0,463.0,1016.0,1580.0,880.0,3848.0,968.0,234.0,2674.0,720.0,1715.0,3532.0,2545.0,744.0,1459.0,4123.0,2446.0,3546.0,1666.0,108.0,1009.0,334.0,421.0,168.0,649.0,231.0,650.0,508.0,749.0,1956.0,1162.0,909.0,3218.0,780.0,487.0,413.0,3329.0,3228.0,532.0,495.0,1820.0,3462.0,4643.0,5459.0,3277.0,1028.0,2861.0,777.0,773.0,1101.0,341.0,1209.0,1805.0,200.0,458.0,1904.0,9097.0
2019010600,1835.0,4072.0,677.0,3201.0,1042.0,1657.0,1469.0,3254.0,1279.0,2023.0,2221.0,1054.0,3030.0,814.0,6728.0,1908.0,681.0,1848.0,541.0,1089.0,844.0,1021.0,2068.0,959.0,1709.0,890.0,786.0,1442.0,1230.0,3259.0,2188.0,4436.0,6838.0,470.0,65.0,1114.0,474.0,3901.0,2428.0,427.0,1662.0,808.0,842.0,1033.0,970.0,4113.0,885.0,2947.0,799.0,3634.0,2985.0,1335.0,502.0,993.0,1542.0,952.0,4122.0,1001.0,281.0,2844.0,930.0,1619.0,5096.0,2833.0,928.0,1509.0,4227.0,2597.0,3750.0,1853.0,127.0,1172.0,306.0,360.0,126.0,604.0,250.0,668.0,501.0,809.0,3597.0,1165.0,987.0,3427.0,1278.0,518.0,482.0,3720.0,3739.0,545.0,489.0,1933.0,4394.0,5324.0,5602.0,3640.0,1227.0,4582.0,869.0,922.0,1246.0,399.0,1129.0,2211.0,215.0,530.0,1892.0,12570.0
2019010700,2053.0,4669.0,794.0,3299.0,1079.0,1728.0,1516.0,3394.0,1854.0,1840.0,1838.0,1273.0,3417.0,1147.0,7452.0,2334.0,1055.0,1967.0,586.0,1190.0,906.0,1056.0,2151.0,1104.0,1786.0,962.0,816.0,1899.0,1316.0,4377.0,3265.0,4931.0,7201.0,535.0,75.0,1274.0,558.0,3379.0,2190.0,407.0,1569.0,1002.0,789.0,1091.0,1406.0,3913.0,815.0,2841.0,1060.0,4002.0,3320.0,1493.0,584.0,1130.0,1685.0,1341.0,4876.0,1021.0,310.0,3109.0,1017.0,1758.0,4411.0,3161.0,1002.0,1585.0,4214.0,2902.0,3677.0,1752.0,132.0,1215.0,362.0,416.0,173.0,664.0,247.0,738.0,483.0,1256.0,2774.0,1273.0,1277.0,3433.0,939.0,658.0,559.0,4866.0,3716.0,561.0,464.0,1919.0,3987.0,6057.0,6420.0,3672.0,1738.0,3553.0,906.0,755.0,1285.0,341.0,1140.0,2768.0,209.0,489.0,1980.0,12406.0
2019010800,2100.0,3616.0,754.0,3027.0,1231.0,1818.0,1327.0,3130.0,1685.0,1855.0,1563.0,1400.0,3718.0,1000.0,7694.0,3128.0,873.0,2163.0,610.0,1269.0,986.0,1087.0,1837.0,1127.0,1784.0,991.0,853.0,1560.0,1344.0,3801.0,3402.0,4710.0,8952.0,531.0,94.0,1350.0,622.0,3441.0,2108.0,442.0,1612.0,1054.0,562.0,1231.0,1208.0,3898.0,917.0,2734.0,807.0,4125.0,3441.0,1522.0,612.0,1207.0,1622.0,1197.0,4962.0,1079.0,324.0,2974.0,836.0,1348.0,5128.0,3165.0,929.0,1562.0,4002.0,3161.0,3761.0,1699.0,129.0,1234.0,429.0,498.0,252.0,700.0,236.0,832.0,539.0,1023.0,2882.0,1426.0,1294.0,3374.0,949.0,588.0,560.0,5235.0,3593.0,663.0,409.0,1897.0,4059.0,5213.0,7279.0,3604.0,1735.0,3609.0,888.0,753.0,1390.0,423.0,1171.0,2669.0,242.0,567.0,1962.0,9087.0
2019010900,2173.0,3410.0,767.0,2936.0,1313.0,1808.0,1548.0,2995.0,1534.0,1792.0,1582.0,1429.0,3726.0,1069.0,7750.0,2573.0,709.0,2046.0,593.0,1236.0,977.0,1115.0,1737.0,1108.0,1828.0,1008.0,796.0,1836.0,1465.0,3678.0,3299.0,5053.0,7674.0,526.0,90.0,1223.0,611.0,3214.0,2081.0,423.0,1658.0,1083.0,656.0,1177.0,1201.0,3931.0,885.0,2678.0,758.0,4278.0,3590.0,1543.0,568.0,1423.0,1529.0,994.0,4788.0,1088.0,318.0,3134.0,878.0,1423.0,4536.0,3021.0,904.0,1462.0,4109.0,3239.0,3682.0,1736.0,123.0,1406.0,385.0,459.0,246.0,667.0,254.0,895.0,549.0,1011.0,2274.0,1639.0,1224.0,3469.0,914.0,562.0,584.0,5390.0,3656.0,723.0,419.0,1828.0,4188.0,5026.0,6872.0,4056.0,1608.0,3735.0,818.0,703.0,1307.0,421.0,1193.0,2566.0,215.0,386.0,2877.0,8389.0
2019011000,2059.0,3548.0,758.0,2891.0,1244.0,1871.0,1466.0,3008.0,1960.0,1803.0,1714.0,1386.0,3762.0,1034.0,7834.0,2622.0,984.0,2231.0,543.0,1269.0,965.0,1095.0,1871.0,1178.0,1885.0,1006.0,770.0,1726.0,1484.0,3588.0,3259.0,5100.0,7568.0,530.0,72.0,1061.0,577.0,3035.0,2146.0,400.0,1605.0,1066.0,657.0,1127.0,1329.0,3848.0,989.0,2661.0,1037.0,4359.0,3647.0,1692.0,586.0,1577.0,1463.0,1168.0,4928.0,985.0,267.0,3115.0,887.0,1588.0,4310.0,3310.0,837.0,1331.0,4288.0,3032.0,3369.0,1738.0,115.0,1315.0,399.0,471.0,217.0,668.0,287.0,928.0,529.0,1087.0,2818.0,1423.0,1143.0,3347.0,935.0,612.0,525.0,5162.0,3331.0,624.0,387.0,2009.0,3890.0,5276.0,7048.0,4031.0,1635.0,3593.0,816.0,704.0,1306.0,433.0,1167.0,2812.0,208.0,575.0,1903.0,8171.0
