,metaphysics_and_ontology,existentialism_and_absurdism,epistemology,ethics_and_moral_philosophy,political_and_social_philosophy,philosophy_of_mind,religious_and_theological_philosophy,philosophy_of_time,philosophy_of_science,cultural_and_social_philosophy
2019080300,3964,4196,4322,4783,16062,4183,2155,,2338,1834
2019080400,4141,4151,4323,5127,18712,4387,2373,,2309,2230
2019080500,4269,4612,4631,5557,19771,4930,2320,,3014,2097
2019080600,3887,5265,4547,5164,20350,4704,2301,,2820,2153
2019080700,3827,4794,4624,5557,20663,5053,2176,,2777,2165
2019080800,4049,4469,4497,5439,23720,4985,2254,,2452,2195
2019080900,3880,4273,4353,5551,19413,4456,2213,,2243,1872
2019081000,3930,4254,4548,4977,17758,3965,2181,,2370,1834
2019081100,4311,5054,5221,4968,20097,4378,2580,,2252,2034
2019081200,4035,5057,5280,5761,20924,4937,2493,,2739,2264
2019081300,4063,4612,4652,7009,20967,5103,2377,,2764,2180
2019081400,4101,4774,4625,5917,21708,5109,2143,,3119,2088
2019081500,3982,4269,4821,5432,19843,5068,2195,,2651,2144
2019081600,3928,4213,4574,5388,20254,5364,2316,,2347,2112
2019081700,4094,3923,4566,4863,18782,4681,2294,,2337,1805
2019081800,4359,4338,5047,5286,25822,4882,2539,,2758,2168
2019081900,4787,4987,4991,5846,23241,5284,2300,,2973,2649
2019082000,4187,4505,4940,5625,22505,5482,2146,,2965,2527
2019082100,4396,4557,5326,5542,21496,5692,2454,,2953,2355
2019082200,4241,4938,5076,5603,21099,8160,2497,,3082,2295
2019082300,3997,4513,4739,5134,23564,4917,2237,,2651,2150
2019082400,3845,3836,4378,5062,19845,4590,2455,,2785,1837
2019082500,4345,4207,4773,5212,20337,4877,2607,,2581,2306
2019082600,4470,4579,5338,6005,22836,5816,2555,,3178,2489
2019082700,4220,4647,5483,5841,22033,6027,2599,,3399,2675
2019082800,4225,4800,5412,6154,22940,5571,2424,,3200,2516
2019082900,4549,4675,5382,7004,22029,6198,2568,,3564,2662
2019083000,3878,4049,4854,6001,19831,5477,2466,,2763,2214
2019083100,4332,4243,4676,5099,20360,5087,2919,,2740,2162
2019090100,9272,4118,5492,6538,20727,5726,2506,,3080,2097
2019090200,7617,4821,5662,6938,22002,5695,2605,,3242,2521
2019090300,4661,5059,6827,6140,22779,6762,2439,,3393,2632
2019090400,4385,4763,5489,6001,23220,5790,2454,,3361,2498
2019090500,4370,6224,6485,5936,24305,6116,2581,,3525,2693
2019090600,4684,5952,5105,5433,20477,5232,2316,,2906,2228
2019090700,3724,4626,5478,4829,17099,4431,2248,,2377,1941
2019090800,4316,4901,7179,5933,19930,4906,2842,,3012,2419
2019090900,4617,5242,9762,6508,22851,6123,2766,,3690,2785
2019091000,4969,5139,5976,6920,24632,6164,2616,,3873,2916
2019091100,4570,5031,5616,6071,23440,6059,2949,,3690,2714
2019091200,4348,5797,6491,6045,27218,5923,2607,,3606,3186
2019091300,4150,4816,5084,5745,25283,5420,3054,,3168,2437
2019091400,3665,4695,4534,4739,18868,4720,2729,,2732,2017
2019091500,4374,4767,5370,5926,20491,5190,2624,,3136,2541
2019091600,4454,5301,5682,7164,23762,6342,2768,,3832,2870
2019091700,4261,5461,5740,6725,23400,6374,2492,,3680,2901
2019091800,4444,5422,5924,7070,23448,6618,3045,,3773,2789
2019091900,4274,5115,5795,6892,22869,6310,2556,,3695,2889
2019092000,3854,4871,4930,6750,20920,5352,2377,,3029,2533
2019092100,3851,3987,4694,5298,18852,4847,2149,,2648,2077
2019092200,4484,4880,6717,6226,21152,5674,2706,,4871,2450
2019092300,4438,5284,5823,7421,25879,6697,2606,,4303,2788
2019092400,4489,5800,5725,6940,27611,6649,2411,,4100,2798
2019092500,4378,5019,5570,7366,27116,6420,2656,,3709,2756
2019092600,4252,5286,5606,7832,24686,6679,2655,,3592,2635
2019092700,3951,4922,5409,6226,21819,5541,2211,,3498,2481
2019092800,3736,4118,5024,5556,18764,4873,2256,,2719,2126
2019092900,4493,4712,5689,6796,22020,5763,2635,,3320,2705
2019093000,4491,5167,5623,6886,24112,6349,2675,,3923,3217
2019100100,5196,5117,5614,7467,29944,6594,2832,,3776,3356
2019100200,4280,5196,5177,7128,26612,6330,2480,,3484,2724
2019100300,4360,4816,5612,6977,23737,6061,2324,,3355,2567
2019100400,4121,4485,4978,5972,22844,5978,2396,,2919,2184
2019100500,3629,4102,4659,6051,20137,5457,2387,,2707,2044
2019100600,4174,4676,5170,6259,21391,5851,2436,,3136,2355
2019100700,4488,5455,5726,8667,26160,6489,2556,,4074,2640
2019100800,4460,5113,5668,7905,26679,6480,2561,,3768,2836
2019100900,4478,5214,5733,7877,26380,7027,2451,,3828,2818
2019101000,4424,5099,5661,7283,25763,6489,2263,,3798,2688
2019101100,4069,4744,5100,7134,23856,6013,2242,,3458,2287
2019101200,3867,4111,4744,6075,20895,5014,2287,,2950,1992
2019101300,4588,4907,5539,7099,21954,5859,2630,,3476,2449
2019101400,4638,5260,5605,8072,25322,6431,2538,,3793,2759
2019101500,4576,5427,5827,7444,28118,6608,2402,,3913,3025
2019101600,5307,5581,6218,8056,27370,6724,2445,,3715,3089
2019101700,4635,5471,5824,7195,25797,6299,2453,,3746,2798
2019101800,4124,4852,5491,6657,24056,5645,2220,,3322,2474
2019101900,3872,4357,5007,5512,19855,4990,2446,,2873,2092
2019102000,4384,5138,5767,6558,23257,5835,2616,,3349,2589
2019102100,5282,5495,6248,7823,27678,7203,2829,,4144,2887
2019102200,4522,5815,5900,7174,30887,6847,2607,,4019,2890
2019102300,4540,5495,5612,6991,25260,7195,2589,,3598,2829
2019102400,4322,5401,5190,6672,23356,6174,2304,,3296,2718
2019102500,3911,4789,5142,5900,21456,5553,2276,,2847,2361
2019102600,3835,4262,4668,5527,19078,5546,2146,,2649,2027
2019102700,4090,4962,5281,6132,19542,5395,2566,,3052,2302
2019102800,4611,5788,5699,6845,23622,6613,2510,,3823,2765
2019102900,4528,5710,5564,6811,24551,6352,2450,,3529,2764
2019103000,4212,5357,5339,6657,24293,6121,2289,,3292,2669
2019103100,4096,5111,5198,6372,23971,5688,2252,,3179,2437
2019110100,4000,4886,5509,5819,21197,5556,2128,,2704,2242
2019110200,3749,4373,4566,5239,21528,5016,2196,,2572,2208
2019110300,4287,5028,5550,6557,21655,5673,2510,,3066,2625
2019110400,4705,5720,6426,7183,24519,6482,2844,,3822,3030
2019110500,6373,6207,5703,6927,25205,6452,2638,,3605,2949
2019110600,5854,5769,5625,7280,25750,6568,2541,,3580,2969
2019110700,5374,5775,6534,7013,25360,6162,2425,,4481,2686
2019110800,4505,5197,5118,6207,23533,5622,2422,,3226,2453
2019110900,4231,4386,4649,5389,20847,5051,2265,,2546,2187
2019111000,4394,4878,5182,6010,23328,5467,2535,,2930,2682
2019111100,5031,5830,6032,7295,26162,6294,2595,,4012,3100
2019111200,4913,5797,6040,6970,27719,6626,2705,,3792,3022
2019111300,4765,5988,6135,7085,27723,7269,2404,,3880,2952
2019111400,4955,5670,5764,7378,26534,6674,2465,,3549,2798
2019111500,4138,5194,5294,6670,23781,5563,2530,,3133,2408
2019111600,4312,4784,5060,5656,20654,5158,2802,,2649,2195
2019111700,4746,4964,5570,6288,23380,5525,2725,,3928,2435
2019111800,4861,5916,6019,7397,29772,6565,3166,,3762,2817
2019111900,4728,5659,6395,7086,27767,6849,2949,,3605,2795
2019112000,4492,5851,6418,6905,26673,7629,3119,,3659,3033
2019112100,4570,5855,5998,6823,25968,6863,2769,,3554,2794
2019112200,4216,4949,5121,6044,23252,5718,2473,,3089,2429
2019112300,4179,4367,4983,5292,19481,5397,2241,,2613,2052
2019112400,4396,5123,5886,5913,23267,6439,2468,,3010,2412
2019112500,4622,5574,6858,6990,26797,6825,2816,,3858,2714
2019112600,5663,5613,5945,6862,23928,6097,2459,,3844,2811
2019112700,4191,5010,5049,6036,23035,5580,2321,,3269,2533
2019112800,4117,4832,4868,5688,20968,5340,2357,,3159,2376
2019112900,4393,4482,4359,5338,21268,5037,2233,,2666,2132
2019113000,4408,4877,4438,5252,20196,5077,2063,,2663,2037
2019120100,4579,5017,5557,5853,22251,5343,2455,,3102,2427
2019120200,4976,6145,5281,7399,23492,6163,2604,,3523,2841
2019120300,4495,7554,5278,7137,23992,6105,2337,,3535,2745
2019120400,4460,6386,5488,7218,24130,6641,2301,,3668,2752
2019120500,5051,5676,5759,6803,24017,6648,2774,,3716,2628
2019120600,5103,5185,6570,6253,22092,5577,2863,,3501,2537
2019120700,4112,4729,6980,5708,22381,6885,2545,,2984,2095
2019120800,4956,5137,6016,6226,23388,6096,3761,,3100,2655
2019120900,5098,6119,5854,7397,24577,6584,3510,,3843,2938
2019121000,4785,5718,5986,7681,25279,7675,3118,,3930,2911
2019121100,5180,5491,6728,8636,25588,6811,2275,,4345,2813
2019121200,4463,5631,5794,6951,27022,6539,2355,,3546,2740
2019121300,4095,5035,4700,6001,28732,5391,2211,,2704,2445
2019121400,3781,4241,4370,5575,20920,5001,2014,,2310,1916
2019121500,4213,5032,4804,5831,21002,5499,2447,,2497,2186
2019121600,4373,5160,5564,6886,23499,6173,2353,,3467,2538
2019121700,4348,5440,5472,6402,23289,8066,2275,,3165,2567
2019121800,4063,5163,5863,5645,23044,7216,2250,,2916,2299
2019121900,3593,4677,4722,5330,22446,6328,2256,,2583,2094
2019122000,3456,4334,4457,4403,20317,4961,2078,,2232,1992
2019122100,3664,3690,4129,4218,17646,4621,2017,,1823,1674
2019122200,3766,4514,4482,4064,18143,4535,2044,,1901,2009
2019122300,3807,4049,4649,4541,17959,4167,2217,,2165,1947
2019122400,3799,3864,4557,3915,16468,4371,2216,,1849,1758
2019122500,3775,3768,4613,4040,14965,4007,2140,,1732,1635
2019122600,4002,4220,4446,4409,17041,4889,2250,,2009,1795
2019122700,4271,4258,4343,4242,17342,5193,2218,,2090,1906
2019122800,4061,4160,4510,4480,17356,4769,2226,,2348,1882
2019122900,4405,4884,4843,4436,18001,4571,2605,,1955,1831
2019123000,4182,4885,4576,4951,18174,5567,4082,,2319,1988
2019123100,3623,4129,4028,4409,16291,4282,2002,,1974,1795
2020010100,3679,4187,4296,4514,15503,3922,3729,,1911,1674
2020010200,4838,4834,4882,5165,19243,5001,2553,,2431,2076
2020010300,4232,4696,4913,5246,19985,4669,2416,,2314,2716
2020010400,4194,4639,4641,4960,18754,4415,2701,,2298,1933
2020010500,4533,5289,5498,5260,21794,5014,2571,,2541,2488
2020010600,4426,5332,5550,5455,22838,5136,2365,,2927,2537
2020010700,4551,5378,5140,5800,26762,5406,2297,,2924,2494
2020010800,4285,5053,5249,5668,24853,5263,2407,,2986,2475
2020010900,4346,4990,5207,5599,24664,5999,2388,,3050,2403
2020011000,4202,4714,5230,5060,25440,5282,2395,,2825,2325
2020011100,3978,4490,5415,4836,21318,5014,2494,,2421,2055
2020011200,4658,4870,5253,5624,23520,5237,2650,,2783,2295
2020011300,4522,5536,5637,6369,25449,5823,2556,,3159,2613
2020011400,4248,5260,5278,6381,24334,6340,2396,,3158,2527
2020011500,4631,5575,6881,6565,25172,5638,2571,,4546,2624
2020011600,4332,5391,5344,6412,24290,5889,2683,,3219,2694
2020011700,4219,5033,5219,5856,21858,5065,2299,,3183,2331
2020011800,3893,4514,4614,4992,18588,4418,2186,,2419,2112
2020011900,4232,4844,4839,5723,19358,5731,2454,,2687,2512
2020012000,4351,5306,5094,6603,22521,6180,2316,,3071,2578
2020012100,4260,5725,5219,6602,23423,6193,2318,,3366,2686
2020012200,4207,5525,6595,6717,23091,6257,2218,,4113,2643
2020012300,4013,5297,5608,6486,22807,6654,2347,,3351,2647
2020012400,3833,4809,4989,5846,20970,4999,2192,,2902,2483
2020012500,3680,4297,4784,5348,18468,4265,2156,,2435,2501
2020012600,4084,4559,4851,5574,19360,4867,2395,,2601,2673
2020012700,4320,5294,5669,6396,21776,5682,2377,,3364,2571
2020012800,4469,6422,5346,6328,23117,6027,2427,,3424,2668
2020012900,4486,5648,5622,6354,22752,5887,3129,,3389,2813
2020013000,4313,5611,5002,6550,22716,5504,2557,,3271,2676
2020013100,4034,4712,4560,5401,21291,4897,2305,,2706,2259
2020020100,3722,4373,4479,4850,18255,4649,2325,,2369,2088
2020020200,4236,5033,5044,5577,20103,4922,2592,,2791,2420
2020020300,4968,5257,5147,6516,24692,5663,2363,,3567,2567
2020020400,4450,5690,5303,6515,26934,5865,2367,,3336,2799
2020020500,4331,5186,5206,6841,28683,5715,2554,,3243,2798
2020020600,5308,5038,5324,7254,28190,5502,2770,,3516,2739
2020020700,4697,4916,4591,5950,25247,6328,2261,,2749,2453
2020020800,3771,4346,4807,5113,24501,5408,2204,,2428,2104
2020020900,4620,4993,5608,5764,26779,6050,2646,,2886,2400
2020021000,4406,5486,5567,6820,28777,6170,2439,,3721,2828
2020021100,4825,5488,5358,6567,29956,6103,2408,,3662,2812
2020021200,4271,5455,5319,6514,33921,5996,2494,,3352,3044
2020021300,4100,5396,4992,6555,30365,5660,2413,,3199,2679
2020021400,3820,4662,4401,6203,24568,4961,2001,,2661,2214
2020021500,3944,4622,4449,5061,22674,4651,2280,,2789,2166
2020021600,4299,4863,5177,6042,23650,5509,2580,,3008,2392
2020021700,4791,5361,5289,6729,28672,6252,2685,,3530,2740
2020021800,4539,5796,5252,6776,28246,6604,2498,,3544,2729
2020021900,4834,5986,5392,7093,29802,6297,2568,,3435,2664
2020022000,4482,5880,5259,6741,39140,5897,2458,,3209,2483
2020022100,4040,5091,5030,5913,30119,5805,2363,,2908,2439
2020022200,4407,4634,4529,5269,26344,4996,2209,,2439,2138
2020022300,4146,5205,6512,5995,37007,5224,2494,,3181,2482
2020022400,4441,5814,5413,6749,39094,5841,2539,,3402,2924
2020022500,4138,5305,5092,6619,37749,5603,2352,,3291,2698
2020022600,4026,5410,5311,6561,37651,5674,2303,,3269,2715
2020022700,4146,5219,5217,6769,34216,5667,2272,,3241,2586
2020022800,3729,4963,4841,5948,30596,5185,2187,,2916,2340
2020022900,3771,4356,4458,4962,27268,5019,2100,,2683,2225
2020030100,4201,5080,5271,5644,29479,5472,2256,,2861,2755
2020030200,4187,5906,5915,7887,33697,6045,2310,,3747,2885
2020030300,4396,5714,5594,6840,37059,5566,2244,,3329,2667
2020030400,4136,5385,5055,6499,37073,5884,2125,,3253,2645
2020030500,3989,5518,4915,6306,30558,5485,2254,,3257,2587
2020030600,3749,5340,4718,5688,27042,4933,2084,,2706,2375
2020030700,3675,4593,4167,4945,22226,4780,2066,,2376,2002
2020030800,3966,4981,4943,5613,23176,5259,2596,,2896,2373
2020030900,4024,5341,6139,6151,26205,5442,2260,,3407,2723
2020031000,3991,5216,5230,6030,25328,5462,2094,,3133,2495
2020031100,4274,5780,4601,6047,25735,5299,1993,,2933,2358
2020031200,3453,5070,4401,5757,22965,4828,1842,,2927,2385
2020031300,3219,4722,4521,5348,20881,5527,1818,,2953,2069
2020031400,3409,5381,4237,4789,19307,5818,2021,,2678,1907
2020031500,4082,4966,4368,5476,21701,4914,2272,,2728,2077
2020031600,3446,4825,4659,5946,23385,4640,1949,,2654,2148
2020031700,3337,4860,4982,6223,23927,4529,1982,,2568,2190
2020031800,3608,4939,4461,5581,28397,4651,1946,,2718,2116
2020031900,3513,5119,4265,5423,27400,5027,1828,,2541,2184
2020032000,3493,4890,4432,5454,25039,4363,2008,,2718,2090
2020032100,3342,5179,4587,5366,23014,4342,2059,,2586,2039
2020032200,3983,5419,4698,5666,24875,4601,2397,,2559,2087
2020032300,3933,5378,4946,5882,26765,5002,2360,,3053,2323
2020032400,3879,5523,4994,6447,26072,4942,2411,,2982,2343
2020032500,4003,5409,4673,6314,27383,5046,2618,,2895,2371
2020032600,3786,5423,5124,6422,29044,5249,2784,,2996,2565
2020032700,4102,5453,4996,6319,29372,5050,2626,,2653,2452
2020032800,4322,5204,4931,5738,28519,4846,2656,,2469,2298
2020032900,4706,5758,5428,6452,30325,4852,2613,,2649,2816
2020033000,4372,6172,5380,6529,29679,5096,2972,,2918,2597
2020033100,4716,5978,5632,6181,30239,5295,2553,,2993,2591
2020040100,4302,5725,5275,6226,29521,5339,2743,,2854,2496
2020040200,4279,6168,6012,6571,31904,5262,2621,,3160,2742
2020040300,4399,5853,5563,6475,30121,5223,2674,,3159,3194
2020040400,4877,5736,5515,6772,29953,4933,2633,,2628,3323
2020040500,5165,6222,6336,6872,30937,7144,3056,,3198,4364
2020040600,4851,6258,6457,6957,29125,6394,3805,,3344,4880
2020040700,4740,5969,5831,6695,28757,5893,7005,,3178,5449
2020040800,5235,7999,5862,7922,31911,5850,8744,,3077,7000
2020040900,4778,7111,6058,6571,31259,5662,5094,,3202,4432
2020041000,5133,6521,6857,6740,30042,5539,4397,,3002,3578
2020041100,4957,6024,6621,6890,29462,5263,3693,,3050,3331
2020041200,5662,6591,7735,6756,30355,5996,4110,,3109,3359
2020041300,5438,6325,7761,8054,31790,6138,3738,,3430,3401
2020041400,5247,6483,7278,7459,31976,6439,3374,,4140,3077
2020041500,4728,5939,5978,7023,33323,5985,2895,,3291,2993
2020041600,4887,5950,6337,7182,32283,5718,3077,,3341,2990
2020041700,4598,6272,6267,6906,29546,5714,2845,,3180,3363
2020041800,4843,5734,6805,6797,28476,5549,2886,,3380,2535
2020041900,5105,6194,7404,7070,30441,5741,3319,,3160,2746
2020042000,5639,6330,6187,7674,31605,7376,3183,,3434,2942
2020042100,5008,5963,6064,7525,32988,6803,3864,,3274,3292
2020042200,4766,6136,6295,7508,31471,6736,3290,,3226,3184
2020042300,4884,6085,6588,8512,30649,6223,3065,,3443,3038
2020042400,4856,6111,6183,7995,28019,5879,2908,,3175,2916
2020042500,5061,5552,6155,6811,26985,5271,2859,,2900,2753
2020042600,5380,6132,6589,7633,29401,5613,2981,,3195,3015
2020042700,5240,6047,7192,8122,31264,6467,3022,,4280,3517
2020042800,5217,6150,6851,7736,29711,6717,2813,,3567,3084
2020042900,4923,6492,6467,7838,33071,6179,2771,,3619,3325
2020043000,5118,6192,6263,7620,32052,6118,2667,,3626,2998
2020050100,4710,5996,6433,6897,29578,5236,2432,,3149,2886
2020050200,5131,5895,6565,6860,29329,5349,2748,,3069,2842
2020050300,5365,6306,7225,7223,28393,5664,2776,,3214,2995
2020050400,5095,6511,6240,7641,28140,6745,2734,,3465,3188
2020050500,5226,6743,6072,7279,28894,6670,2650,,3372,3247
2020050600,4870,6606,6286,7316,28907,5910,2836,,3452,3152
2020050700,5064,6229,5967,7350,28141,6327,3045,,3416,3023
2020050800,4772,5907,5503,6362,26206,5549,2512,,3009,2657
2020050900,5554,6125,5744,6160,25925,5207,2507,,2884,2473
2020051000,4868,6140,5973,6416,26844,5288,2525,,3129,2578
2020051100,4749,6177,5838,6798,26233,5816,2571,,3282,2754
2020051200,4848,5770,5600,6850,26946,5772,2527,,3234,3029
2020051300,4827,5981,5812,6582,27160,5614,2543,,3217,3107
2020051400,4970,5910,5895,6814,28184,5728,2576,,3537,2910
2020051500,6108,5956,6083,6921,25385,5634,2789,,3377,2917
2020051600,5005,5910,5297,6192,24107,5136,2472,,2650,2467
2020051700,5439,5709,5664,6244,26495,5330,2698,,2934,2701
2020051800,5072,5917,5431,6602,26143,5484,2669,,3008,2908
2020051900,4974,5733,5284,6683,29240,5726,2411,,2981,2757
2020052000,4791,5502,5486,6368,26581,5156,2389,,3036,2732
2020052100,4793,5816,5534,5967,27639,5409,2458,,2866,2686
2020052200,4621,5188,5311,6538,26235,4997,2466,,2574,2482
2020052300,4687,5416,5458,6506,23759,4964,2599,,2462,2572
2020052400,5222,5578,5771,7042,25456,4762,2761,,2605,2358
2020052500,5139,5880,5640,7245,25822,5493,2862,,2846,2607
2020052600,4838,5755,5515,6912,26240,5183,2577,,2837,2543
2020052700,4560,5505,5510,6257,27001,5119,2660,,2781,2689
2020052800,4405,5361,5123,6233,26314,5572,2366,,2773,2659
2020052900,4372,5067,4775,5827,25857,5568,2486,,2558,2470
2020053000,4567,4819,4865,5618,30961,5013,2279,,2348,2264
2020053100,4386,5090,5211,6492,54454,5472,2435,,2772,2444
2020060100,4015,5010,4838,5597,57819,4970,2186,,2665,2551
2020060200,3978,5525,5120,6082,50147,5463,2308,,2573,2657
2020060300,3724,5092,4861,6134,42254,5078,2229,,2713,2602
2020060400,4059,5172,4994,5975,38936,5098,2249,,2722,2640
2020060500,3971,5088,4952,5572,35597,5145,2248,,2536,2554
2020060600,3895,4974,5040,5569,33172,5063,2385,,2411,2757
2020060700,4281,5816,6032,5878,34814,5010,2628,,2824,2540
2020060800,4473,6012,5170,6562,42582,5410,2548,,3076,2678
2020060900,4099,5491,5297,6253,32441,5271,2392,,2898,2470
2020061000,4266,5616,5261,6321,35665,6138,2656,,2916,2820
2020061100,4272,5732,5238,6044,34441,5775,2565,,2850,2560
2020061200,4040,5070,4873,5729,33325,5045,2264,,2573,2549
2020061300,4271,4891,4882,5288,29742,5757,2296,,2412,2225
2020061400,4475,9579,5404,6430,30551,7496,2315,,2560,2358
2020061500,4522,6172,4959,5874,29048,5517,2275,,3186,2550
2020061600,3900,5620,5187,5769,30538,5769,2459,,3301,2700
2020061700,4135,5698,5325,5845,32361,5166,2395,,2985,2479
2020061800,4085,5526,5284,6888,31086,5107,2284,,2953,2579
2020061900,3926,5594,4762,5263,30927,4717,2198,,2594,2353
2020062000,4118,4968,5261,5900,30762,4803,2271,,2651,2282
2020062100,4140,5057,5279,5696,30097,4924,2345,,2425,2390
2020062200,4149,5525,5071,6042,32021,5375,2240,,2790,2469
2020062300,3906,5141,4925,5918,32643,4823,2267,,2614,2521
2020062400,3983,4920,4904,5662,31446,4978,2212,,2681,2446
2020062500,3822,4803,4689,5850,32168,4784,2267,,2561,3124
2020062600,3957,4764,4888,5730,31298,4803,2317,,2468,2521
2020062700,4070,4603,4820,5370,29511,4663,2305,,2387,2335
2020062800,4223,4944,5000,6490,30050,5033,2663,,2676,2415
2020062900,3948,4915,4887,5622,30417,5205,2421,,2673,2424
2020063000,3895,4838,5135,6030,32723,5216,2561,,3043,2321
2020070100,4037,4730,4832,5992,32784,5047,2313,,2621,6837
2020070200,3675,4836,4857,5432,31601,4698,2275,,2658,2655
2020070300,3754,4790,4368,5151,29531,4564,2627,,2286,2222
2020070400,3778,4889,4507,5327,29475,4459,4270,,2217,2164
2020070500,3891,4703,5373,5510,33012,5391,3878,,2515,2156
2020070600,4077,5073,4947,6446,32283,4637,3409,,2738,2399
2020070700,4177,5070,4873,6082,36712,4750,2807,,2677,7388
2020070800,4149,5234,5026,6141,32617,4868,2759,,2783,2544
2020070900,4199,5508,4762,6244,32111,4981,2770,,2694,2534
2020071000,3997,5086,4771,5820,28145,4478,2731,,2327,2239
2020071100,4021,4834,5075,5770,28354,4273,2836,,2329,2185
2020071200,4758,4937,5479,5942,27729,4416,2908,,2442,2231
2020071300,3904,5133,5237,5904,28666,4686,2595,,2640,2384
2020071400,3839,4924,5047,5765,28120,4792,2401,,2501,2325
2020071500,4377,4926,5430,6384,28443,4696,3030,,2528,2276
2020071600,4209,4857,5024,5782,28603,4822,2388,,2600,2434
2020071700,4301,6355,4961,6674,29132,4915,2363,,2483,2572
2020071800,4058,5192,4998,5627,27960,4684,2438,,2272,2347
2020071900,5228,4898,5191,6019,28760,4668,2736,,2408,2370
2020072000,4542,5018,5294,6617,29258,4862,2562,,2610,2301
2020072100,4211,5261,4972,5888,29009,4834,2412,,2553,2241
