,metaphysics_and_ontology,existentialism_and_absurdism,epistemology,ethics_and_moral_philosophy,political_and_social_philosophy,philosophy_of_mind,religious_and_theological_philosophy,philosophy_of_time,philosophy_of_science,cultural_and_social_philosophy
2019060100,3682,4232,4270,4868,17265,4210,2187,,2104,2199
2019060200,4207,4577,4917,5400,20721,4546,2392,,2416,2455
2019060300,4274,4890,5432,5774,21087,5040,2388,,2881,2478
2019060400,4430,5162,5616,5616,22637,5140,2784,,2652,2581
2019060500,4834,5154,5348,5622,21452,5228,2344,,2911,2434
2019060600,4926,5102,5294,5860,21507,5372,2571,,2746,2471
2019060700,4140,4800,5606,5815,21196,5280,2441,,2605,3249
2019060800,3798,4138,4908,5051,18824,4536,2383,,2352,2197
2019060900,4135,4532,8679,5486,18821,4297,2973,,2504,2223
2019061000,4984,4927,5805,5863,21337,4842,2668,,3033,2352
2019061100,4477,6369,5055,5945,20601,5182,2543,,2925,2538
2019061200,4370,8308,5191,6160,22746,5560,2631,,3073,2618
2019061300,4408,5736,5115,5742,23813,5347,2537,,2936,2391
2019061400,4026,4896,4226,5285,20779,5257,2284,,2564,2211
2019061500,3930,4166,4227,4978,18830,4940,2211,,2186,2091
2019061600,4228,4678,4466,5380,19510,4649,2428,,2434,2239
2019061700,4346,5130,4929,5925,21784,5348,2487,,2777,2491
2019061800,4154,4779,5420,5904,20550,4997,2271,,2822,2347
2019061900,4068,4923,4965,6359,21096,5024,2364,,2889,2293
2019062000,3903,5462,4885,5811,21137,5134,2630,,2801,2458
2019062100,3853,5341,4613,5098,17284,4710,2106,,2561,2373
2019062200,3671,4478,4374,4642,16266,4440,2122,,2105,2118
2019062300,4099,4829,4896,5351,17991,4717,2806,,2399,2219
2019062400,3866,5239,4979,5833,20361,4704,2638,,2742,2400
2019062500,3967,5018,4712,5156,19950,4913,2261,,2614,2198
2019062600,3758,4674,4691,5229,19810,4987,2207,,2572,2296
2019062700,3683,4216,4485,4877,20581,4364,2203,,2396,2033
2019062800,3284,4144,4208,5561,25201,4247,2022,,2394,1935
2019062900,3488,3797,4060,5101,19760,4098,2276,,2094,1803
2019063000,3790,4629,4456,4667,20231,4191,2821,,2159,1940
2019070100,4006,4506,4642,5429,24694,4972,2652,,2537,2026
2019070200,3987,4868,4846,5141,22004,4962,2410,,2711,2084
2019070300,3764,5053,4401,5140,20097,4536,2385,,2469,2053
2019070400,3593,4155,5230,4733,20426,4361,2665,,2539,2078
2019070500,3736,4163,4231,4545,18455,4818,2543,,2109,1846
2019070600,3430,3796,4648,4387,18372,4150,2539,,1972,1839
2019070700,3967,4223,4870,4904,20296,4614,2708,,2830,2251
2019070800,4057,4677,5145,5520,20474,5333,2459,,3003,2289
2019070900,3914,4683,4844,5439,20938,4858,2350,,2504,2302
2019071000,4373,4569,5449,5560,20346,5299,2484,,2623,2149
2019071100,3874,4396,4965,5353,20835,4791,2577,,2736,2254
2019071200,3658,4429,8477,4943,20309,4887,2398,,2308,2080
2019071300,3668,4109,5375,4630,17402,4338,2348,,2206,1913
2019071400,3775,4056,5863,5017,18880,4613,2534,,2637,2110
2019071500,3877,4532,5029,5737,20657,5316,2385,,2581,2227
2019071600,3697,4287,5356,5457,23918,5326,2469,,2519,2198
2019071700,3675,5578,4802,5517,22789,5005,2430,,2594,2323
2019071800,3590,5022,4711,5371,22289,5097,2321,,2620,2270
2019071900,3494,4246,4302,5207,20044,4501,2538,,2457,2068
2019072000,3497,4061,4356,5077,18085,4040,2664,,2065,2113
2019072100,3936,4411,4863,5384,20227,4826,3668,,2377,2174
2019072200,3898,4642,4915,5481,20990,4739,2701,,2819,2261
2019072300,4031,4641,4708,5840,20150,4740,2456,,2599,2183
2019072400,3651,4915,4427,5459,20195,4893,2423,,2612,2156
2019072500,3807,4743,4452,5180,21382,5483,2220,,2583,2205
2019072600,3605,4418,4384,5044,18309,5237,2285,,2340,2315
2019072700,3747,4996,4443,5485,18352,4501,2461,,2313,2485
2019072800,4192,4807,4819,5458,20145,4511,2693,,2545,2308
2019072900,4002,4933,4847,6426,20932,5093,2580,,2662,2739
2019073000,4268,4988,5125,6436,21903,5128,2426,,3136,2792
2019073100,4102,4948,4451,5640,21639,4882,2341,,2702,2238
2019080100,4336,4218,4331,5348,19724,4652,2113,,2533,2208
2019080200,4028,4066,4402,5082,18746,4660,2132,,2260,1826
