,metaphysics_and_ontology,existentialism_and_absurdism,epistemology,ethics_and_moral_philosophy,political_and_social_philosophy,philosophy_of_mind,religious_and_theological_philosophy,philosophy_of_time,philosophy_of_science,cultural_and_social_philosophy
2018-01-01,142585,221228,220545,239736,746687,198472,106315,,107928,99233
2018-02-01,132583,192604,172897,224517,701479,181203,90204,,96293,84113
2018-03-01,147328,211047,193411,236860,804662,190958,121061,,100578,94643
2018-04-01,145747,207605,174019,222515,761595,189793,91308,,95318,94563
2018-05-01,145692,213178,165304,214216,745963,184590,85500,,93090,89231
2018-06-01,114033,190124,154036,177260,676719,156376,79505,,77801,75826
2018-07-01,116714,175743,167767,174842,789249,164050,78730,,78395,74411
2018-08-01,119198,179830,169210,180827,756010,172075,75706,,85580,83591
2018-09-01,119741,186249,164519,188110,693999,188803,79184,,103168,86319
2018-10-01,129842,186892,174593,210682,708756,200276,81317,,108239,90117
2018-11-01,125186,190453,174767,197206,753743,175949,79025,,100298,88217
2018-12-01,130048,181820,176013,193695,649550,170439,81127,,90467,82119
2019-01-01,133939,190495,190440,192835,748743,177410,83199,,103445,84422
2019-02-01,120662,179850,163104,255700,858771,166739,78294,,97000,78164
2019-03-01,132617,183427,179835,254241,885706,182051,82631,,99628,85936
2019-04-01,149057,175958,173912,218949,772069,166507,76870,,89870,81687
2019-05-01,166985,169479,162747,202209,723768,167136,76282,,91337,77683
2019-06-01,122779,148326,149828,164359,613128,145300,72979,,77647,69631
2019-07-01,118871,141851,152976,164940,635534,149850,78113,,78708,68329
2019-08-01,128656,139074,148732,171337,645432,158675,73382,,84917,68046
2019-09-01,137572,151296,174501,190850,679732,174745,77534,,103483,77640
2019-10-01,135619,157306,168961,214292,753821,190861,75783,,106868,80415
2019-11-01,139168,158554,167094,192592,721247,180574,76164,,100226,77876
2019-12-01,132535,154291,160419,177040,660844,176674,76799,,86832,70339
2020-01-01,132049,157830,162425,179690,686015,166674,76848,,91775,76082
2020-02-01,125258,149824,148367,180266,843199,163216,69725,,90325,73666
2020-03-01,121292,164522,152263,184963,835867,158245,69997,,89136,73513
2020-04-01,149316,186264,192786,216912,918398,179164,106132,,98622,103317
2020-05-01,153028,180498,177111,206195,866569,170893,80359,,92837,85097
2020-06-01,122598,162156,152338,177383,1028582,157602,70749,,81717,75870
2020-07-01,128863,156208,154934,185910,926139,147001,84004,,79415,82195
2020-08-01,126134,150417,152643,189397,881329,154062,73012,,82289,80175
2020-09-01,124138,154637,165941,205565,926648,179480,71092,,107688,88870
2020-10-01,136079,191140,192844,224231,1029769,205168,82599,,116706,96220
2020-11-01,123150,172640,166621,210771,1198027,176091,77002,,99940,91826
2020-12-01,123714,168128,163218,203740,743478,167837,70906,,91606,83683
2021-01-01,127572,168909,167456,212602,1018563,185047,80636,,96401,88064
2021-02-01,122399,164477,153333,227379,755235,174208,72889,,97702,82306
2021-03-01,133846,177482,164962,236119,783273,185328,76134,,109778,88497
2021-04-01,123709,160624,158470,208908,686463,165361,74318,,100007,78695
2021-05-01,123845,159246,158337,211571,671463,160149,73087,,94120,74869
2021-06-01,110365,141472,139930,186622,600219,147252,63677,,83235,65612
2021-07-01,107957,138268,142922,190621,639787,143100,66453,,77988,65082
2021-08-01,110987,143828,154245,192655,637845,157902,69349,,87114,70090
2021-09-01,120144,149220,165868,207308,688747,171302,71974,,109090,73773
2021-10-01,122597,157884,161347,205985,675926,162076,75345,,105563,74038
2021-11-01,114914,146137,143977,192115,622468,151639,63392,,94117,74351
2021-12-01,108560,138621,146029,180956,578065,149384,62615,,84608,66750
2022-01-01,117243,151049,157671,206159,647440,173665,106228,,95217,74074
2022-02-01,108418,138223,144471,197577,738352,153193,64604,,93052,68660
2022-03-01,114980,148773,152191,198471,754392,157057,65973,,94246,72873
2022-04-01,116670,143853,157212,225586,611557,150760,72662,,89850,71513
2022-05-01,115502,163609,143379,333542,607047,153981,74915,,85242,71891
2022-06-01,105984,133663,134408,179536,521718,133992,75174,,73813,62809
2022-07-01,114222,134020,142009,178240,561413,134635,81080,,73738,62883
2022-08-01,123709,135687,161342,200302,574920,139731,74837,,82252,66203
2022-09-01,132603,143473,177579,206525,630981,152920,77750,,104279,74154
2022-10-01,134842,157861,171471,240749,658801,154433,77240,,100499,87123
2022-11-01,152994,172165,166983,236139,709252,161236,74333,,97650,83622
2022-12-01,125584,162469,149042,189659,551440,134721,68230,,78517,69288
